,Author,Books,Year Published,Pages
0,Thomas Simmons,Great Gatsby,1598,1722
1,Leonard Stevenson,Lovely Bones,1526,4609
2,Beatrice Ortiz,Lighthouse Keeper,1858,1575
3,Patricia Simpson,Catcher in the Rye,1696,2282
4,Anthony Davis,Book of Miracles,1767,2149
5,Janet Baldwin,Emerald Isle,2012,4794
6,Albert Mills,Time Traveler's Wife,1704,3435
7,John Ryan,Golden Compass,1834,4191
8,Delores Brown,Kite Runner,1819,2153
9,Richard Freeman,Martian,1525,1364
10,Barbara Farmer,Lovely Bones,1763,1280
11,Jeffrey Williams,Shadow of the Moon,1654,3837
12,Lauren Holland,Cursed Castle,1957,742
13,Tracey Walker,Alchemist,1786,2553
14,Jessie Bowman,Dance with Destiny,1639,3348
15,Michael Martinez,Book of Miracles,1818,959
16,Lauren Holland,Secrets We Keep,1536,3372
17,Linda Ward,Hunger Games,1640,3835
18,Dana Huff,Silver Lining,2005,2817
19,Victor Davis,Midnight Garden,1873,4239
20,Sherry Bennett,Mirror of Truth,1823,2907
21,Sandra Craig,Enchanted Castle,1929,632
22,Sherry Bennett,Midnight Serenade,1847,1757
23,Rosemary Lucas,Dance with Destiny,1952,3544
24,Victor Davis,Midnight Serenade,1852,1396
25,Richard Freeman,Witching Hour,1530,2347
26,Ella Harrison,Black Cat,1506,284
27,Wayne Morrison,Tears of the Moon,2000,3658
28,Diane Robbins,Giver,1593,1048
29,Beatrice Ortiz,Phantom of the Opera,1919,3976
30,Cindy Gilbert,Mask of Deception,1595,1950
31,Mary Abbott,Last Voyage,1599,3766
32,Jacqueline Brown,Shadows of the Night,1990,563
33,Gary Johnson,Heart of the Forest,1962,2442
34,Michael Martinez,Forbidden Forest,1541,1382
35,Patricia Simpson,Catcher in the Rye,1769,2309
36,Janet Baldwin,Enigma of Love,1887,881
37,Bernard Brown,Golden Child,1826,2955
38,Alberto Brown,Song of Ice and Fire,1525,4997
39,Robert Evans,Dragon's Lair,1681,965
40,Linda Ward,Crown of Thorns,1545,1978
41,Rosemary Lucas,Maze Runner,1717,4459
42,Gary Johnson,Dragon's Roar,1632,4666
43,Robert Evans,Heart of the Forest,1913,4050
44,Rita Powell,Girl on the Train,1670,4385
45,Alberto Brown,Blood Red Rose,1558,1227
46,Rosemary Wright,Lost City of Atlantis,1636,4222
47,Delores Brown,Catcher in the Rye,1645,3214
48,Richard Garcia,Da Vinci Code,1732,4367
49,Judy Rose,Enchanted Princess,1735,2481
50,Melissa Hall,Blood of Our Fathers,2021,1516
51,Wilma Jackson,Witching Hour,1793,4392
52,Timothy Griffin,Tears of the Moon,1748,2762
53,Michael Smith,Secret Life of Bees,1720,3266
54,Judy Rose,Ruby Red Door,1981,4487
55,Albert Mills,Dark Tower,1616,1063
56,Edward May,Dark Tower,1820,2547
57,Alberto Brown,Crown of Thorns,2007,4062
58,Helen Hernandez,Silent Forest,1683,1134
59,James Hill,Girl with the Dragon Tattoo,1611,3627
60,Christine Miles,Queen's Gambit,1786,740
61,Rosemary Lucas,Ruby Red Door,1713,2278
62,Derrick Brady,Warrior's Heart,1876,513
63,Virginia Jackson,Witch of Blackbird Pond,1994,4434
64,Richard Garcia,Midnight Serenade,1683,1540
65,Wilma Jackson,Handmaid's Tale,1823,3450
66,James Ross,Time Traveler's Wife,1798,2638
67,Janet Baldwin,Phantom of the Opera,1737,4263
68,Jacqueline Brown,White Queen,1784,1386
69,Linda Ward,Enchanted Princess,1609,2989
70,Frances Rose,Knight's Code,1833,3778
71,Sherry Bennett,Curse of the Pharaohs,1645,4130
72,Leah Manning,Girl on the Train,1875,2161
73,William Hamilton,Glass Castle,1556,3578
74,Lauren Holland,Crystal Caves,1614,4840
75,Richard Freeman,Catcher in the Rye,1623,2917
76,Diana Terry,Crystal Caves,1634,4094
77,Victoria Brown,Shac,1845,2473
78,Mary Graham,Beneath the Silver Moon,1929,1279
79,Leah Manning,Shac,1932,367
80,Anthony Davis,Whispering Wind,1896,2039
81,Lisa Rios,Martian,1813,2297
82,Lauren Holland,Forgotten Realm,1656,2427
83,Jacqueline Brown,Island of Secrets,1777,587
84,Patrick Hall,Echoes of the Past,1675,4700
85,Gregory Gibbs,Last Train Home,1766,2915
86,Paul White,Curse of the Pharaohs,1761,3243
87,William Ortiz,Time Traveler's Wife,1711,4946
88,Eric Davis,Secret Life of Bees,1636,2229
89,Ted Smith,Song of Ice and Fire,1774,2723
90,Sandra Craig,Song of Achilles,2000,2382
91,Kelly Franklin,Maze Runner,1848,4628
92,Richard Garcia,Lighthouse Keeper,1502,4657
93,Ashley Doyle,Island of Secrets,1503,1920
94,William Ortiz,Beneath the Silver Moon,1863,4878
95,Sherry Bennett,White Queen,1788,3333
96,Tracey Walker,Martian,1718,2761
97,Dana Huff,Lovely Bones,1761,2571
98,Ted Smith,Twist of Fate,1918,1246
99,Wilma Jackson,Mask of Deception,1991,4025
100,Michael Smith,Valley of Dreams,1859,3652
101,Sherry Bennett,Road,1990,477
